artista,biografia,Oyentes,N_Reproducciones,artistas_similares
MONOEYES,"MONOEYES is a Japanese alternative rock band.

細美武士 (ELLEGARDEN、the HIATUS)
一瀬正和 (ASPARAGUS、the HIATUS)
スコット・マーフィー (アリスター、スコット&リバース)
戸高賢史 (ART-SCHOOL、Ropes)

http://www.monoeyes.net/ <a href=""https://www.last.fm/music/MONOEYES"">Read more on Last.fm</a>",12092,450895,"['the HIATUS', 'ELLEGARDEN', 'ストレイテナー', 'DOPING PANDA', '[Alexandros]']"
Lastfragment," <a href=""https://www.last.fm/music/Lastfragment"">Read more on Last.fm</a>",44814,469252,"['MVDNES', 'BLADEFEAR', 'Kute', 'KXNVRA', 'roseboi']"
Jfarrari," <a href=""https://www.last.fm/music/Jfarrari"">Read more on Last.fm</a>",120419,938865,"['Lure Division', 'DustBowlChampion', 'Dxrkknght', 'Haunt Me', '60 juno']"
Tera Melos,"Tera Melos are a band from Sacramento, USA, that incorporates many styles of math rock, math pop, jazz, ambient electronics and unconventional song structure all in one, to create their original genre. They are currently a three-piece (formerly four) consisting of Nick Reinhart (guitar/vocals/keyboard) Nathan Latona (bass), John Clardy (percussion).

Tera Melos play a brand of math rock music characterized by quickly alternating rhythmic patterns <a href=""https://www.last.fm/music/Tera+Melos"">Read more on Last.fm</a>",240625,5208826,"['By the End of Tonight', 'Hella', 'Don Caballero', 'Giraffes? Giraffes!', 'bygones']"
Bass Modulators,"Rick Buijtenhek, better known as Bass Modulators, kicked off his DJ career in 2007 and is still going strong ever since. Born to entertain and perform with Hardstyle crawling through his veins, music goes way beyond just a hobby. It lives in every aspect of his life.
With a big heart for bass and melody he started this hardstyle adventure back in 2007 as a duo together with Roland evers. They managed to create their own euphorical, energetic ‘feel good’ sound, that received instant international allure and status. <a href=""https://www.last.fm/music/Bass+Modulators"">Read more on Last.fm</a>",64656,1001472,"['D-Block & S-te-Fan', 'Wildstylez', 'Noisecontrollers', 'Headhunterz', 'Demi Kanon']"
Grup Roj," <a href=""https://www.last.fm/music/Grup+Roj"">Read more on Last.fm</a>",1564,12135,"['Hirai Zerdüş', 'devrim çelik', 'Kadr', 'Ender Balkır', 'Bilal Sonses']"
Guilt Trip,"There are at least two bands with the name Guilt Trip:

1) Guilt Trip is a crossover/hardcore 5 piece hailing from Manchester UK, formed in 2015. From the beginning set out to be as Riffy and aggressive as possible, growing from each release and touring when and where they can. ""Unrelenting Force“ was the EP that pushed Guilt Trip to the to the next level and continue to write an LP for BDHW Recs in 2019.

2) Guilt Trip was an emo band from Lancaster, Pennsylvania. <a href=""https://www.last.fm/music/Guilt+Trip"">Read more on Last.fm</a>",87013,1695828,"['Malevolence', 'Desolated', 'Kublai Khan TX', 'Boundaries', 'Terror']"
Kobaryo,"Rei Furuba (born January 11, 1993), better known as Kobaryo, is a J-Core producer from Saitama, Japan.

He began producing speedcore music in 2010 but first gained fame in 2012 after establishing his own record label, HITNECK RECORDS. There, he released various kinds of obscure electronic music. Through his early compilation albums, he was scouted by DJ Myosuke and participated most frequently in his compilations for Psycho Filth Records. He also released two speedcore albums on it. <a href=""https://www.last.fm/music/Kobaryo"">Read more on Last.fm</a>",94928,3910692,"['Laur', 'DJ Myosuke', 't+pazolite', 'USAO', 'Massive New Krew']"
Діти Великого Міста,"Ska punk band started by four young musicians from Kiev (Ukraine) in 2007. They have already recorder several long albums and few EP´s.
https://vk.com/club6438810
https://myspace.com/childrenofthebigcity
https://www.jamendo.com/es/artist/365837/d-ti-vjelikogo-m-sta

 <a href=""https://www.last.fm/music/+noredirect/%D0%94%D1%96%D1%82%D0%B8+%D0%92%D0%B5%D0%BB%D0%B8%D0%BA%D0%BE%D0%B3%D0%BE+%D0%9C%D1%96%D1%81%D1%82%D0%B0"">Read more on Last.fm</a>",1320,35070,"['Фураж', 'Уъют', 'Теорія Ґвалту', 'Нормы Морали', 'Clockwork Times']"
Days N Daze," <a href=""https://www.last.fm/music/+noredirect/Days+N+Daze"">Read more on Last.fm</a>",100725,4481293,[]
Rooftops,"There are five artists under the name Rooftops:

1) Rooftops are a math rock band from Bellingham, Washington. Some of their influences are The Americas, Par Coliss, Maps & Atlases, and Don Caballero. Formed in 2007, the bandmembers include: Wendelin Wohlgemuth, Mark Detrick,  Drew Fitchette, and Jonathan McIntyre. Bands that these musicians have been members of include Lands Farther East,  In Praise of Folly / Mt. St. Helens Vietnam Band, Leaves Sleeves, and Snow Cuts Glass. <a href=""https://www.last.fm/music/Rooftops"">Read more on Last.fm</a>",93081,1132727,"['Bird Bone', 'Floral', 'WLVS', 'влажность', 'Enemies']"
Demented Are Go,"NOTE: this tag is not incorrect. Basically all of the albums except I Wanna See You Bleed have the name WITHOUT an exclamation mark, and  even the band's official Facebook page is called ""Demented Are Go Official"", NOT ""Demented Are Go! Official"".

Demented Are Go were originally formed in 1982 in Cardiff, Wales and were one of the first Psychobilly bands to take the genre in an even harder, more aggressive and Punked-up style in the wake of originating bands such as The Meteors, Guana Batz and King Kurt. <a href=""https://www.last.fm/music/+noredirect/Demented+Are+Go"">Read more on Last.fm</a>",43037,1258350,[]
The Good The Bad and The Zugly,"The Good The Bad and The Zugly is a hardcore punk band based in Oslo, Norway. The members are Lars Dehli (vocal), Eirik Melstrøm (guitar), Kim Skaug (guitar) and Magne Vannebo (drums).

Sitter Fast I Hælvete, their first 7"" record, received great reviews and the band was booked for the recognised Norwegian festival Øyafestivalen in 2012.

In 2013 The Good The Bad and The Zugly released their first full-length album ""Anti World Music"" on the renowned underground label Fysisk Format. <a href=""https://www.last.fm/music/The+Good+The+Bad+and+The+Zugly"">Read more on Last.fm</a>",27438,881840,"['Spidergawd', 'Kvelertak', 'Gluecifer', 'Turbonegro', 'Bokassa']"
Misfits,"The Misfits is an American punk rock band formed in Lodi, New Jersey in 1977. Often recognized as the progenitors of the horror punk subgenre, blending punk and other musical influences with horror film themes and imagery. The group was founded in 1977 in Lodi, New Jersey, by vocalist, songwriter and keyboardist Glenn Danzig, and drummer Manny Martínez. Jerry Only joined on bass guitar shortly after. Over the next six years, membership would change frequently with Danzig and Only the only consistent members. <a href=""https://www.last.fm/music/Misfits"">Read more on Last.fm</a>",1562126,89351124,"['Samhain', 'Blitzkid', 'T.S.O.L.', 'Black Flag', 'Ramones']"
The Runaways,"The Runaways was an American all-girl rock band from Los Angeles, California, who performed from 1975 to 1979. Believed at the time to have been a novelty act formed by producer Kim Fowley, who thought the notion of five teenage girls dressed in leather and lingerie performing heavy metal music was highly marketable, the band released its eponymous first album in 1976.

The Runaways were formed in late 1975 by drummer Sandy West and rhythm guitarist Joan Jett after they had both introduced themselves to producer Kim Fowley <a href=""https://www.last.fm/music/The+Runaways"">Read more on Last.fm</a>",986069,11128288,"['Joan Jett and the Blackhearts', 'Joan Jett', 'Suzi Quatro', 'Bikini Kill', 'Lita Ford']"
Psychopunch,"With their first two albums “We Are Just Welcome As Holy Water In Satan’s Drink” and “Bursting Out Of Chucky’s Town” ...and the 3rd half studio, half live album “Original Scandinavian Superdudes”, PSYCHOPUNCH already managed to amaze press and fans alike. You cannot draw away your attention from ear candies like ""Down In Flames"", ""Straightjacket Hell"", ""Goin' Crazy"", ""Who's Fucking Who"" and ”Make Up Your Mind” etc. Raving reviews world wide were nothing but logical. <a href=""https://www.last.fm/music/Psychopunch"">Read more on Last.fm</a>",18584,438074,"['The Bones', 'The Generators', 'V8 Wankers', 'Bettie Ford', ""The Turbo A.C.'s""]"
The Flatliners,"There is more than one artist with this name, including:
1) The Flatliners are a Canadian punk rock band; 
2) The Flatliners were an American punk band. 

1) The Flatliners are a Canadian punk rock band from Richmond Hill and Brampton, Ontario, Canada. Since their formation in 2002, The Flatliners have loved bowmanville and been a growing influence in the Toronto punk/ska scene as well as other areas of the Greater Toronto Area. They are currently signed to Fat Wreck Chords and Stomp Records (Canada). <a href=""https://www.last.fm/music/The+Flatliners"">Read more on Last.fm</a>",186369,7334460,"['Dead to Me', 'Red City Radio', 'The Lawrence Arms', 'Hot Water Music', 'Banner Pilot']"
Heavyball,"Heavyball are a hard rocking indie/ska band based in London. 

Formed in late 2011 when Nottingham brothers Matt and Habs Salisbury and school friend Johnny Iball,  began to play together.

The band's sound is impertinant indie with a cheeky nod to ska. Influences include The Kingsmen, Jimmy Cliff and Fleetwood Mac. 

Heavyball’s first EP, Small Town Hero, recorded by producer Dave Creffield (Embrace, James), was released in June 2012 and recieved BBC airplay across the country. <a href=""https://www.last.fm/music/Heavyball"">Read more on Last.fm</a>",890,14127,"['Death Of Guitar Pop', 'ChainSka Brassika', 'Buster Shuffle', 'The Abruptors', 'The Hacklers']"
IST IST,"IST IST are a post-punk band based in Greater Manchester, United Kingdom. The group consists of Adam Houghton (vocals, guitar), Mat Peters (guitar, synthesiser keyboards), Andy Keating (bass) and Joel Kay (drums). <a href=""https://www.last.fm/music/ist+ist"">Read more on Last.fm</a>",27141,377463,"['The Exploding Boy', 'The Foreign Resort', 'Silent Runners', 'Then Comes Silence', 'Whispering Sons']"
Sophie Straat,"Sophie Straat (real name: Sophie Schwartz, born 28 July 1994 in Amsterdam, The Netherlands) is a Dutch singer and songwriter born in Amsterdam but based in The Hague, The Netherlands. 

Listeners familiar with the Dutch music tradition will instantly recognise her style: Sophie gives a modern take on the so-called 'levenslied' or 'smartlap' of typical Amsterdam 'volkszangers' like André Hazes. There is also Dutch eighties and indie pop in the mix. <a href=""https://www.last.fm/music/Sophie+Straat"">Read more on Last.fm</a>",24483,605678,"['Merol', 'Klein Orkest', 'Froukje', 'Goldband', 'Ploegendienst']"
Ductape,"There are 2 artists with this name:

1) Ductape is a Turkish Darkwave & post-punk duo based on Çağla & Furkan Güleray.

2) Kate Lesta was raised in the theater by a creative entrepreneur from Manchester, England who relocated to Boulder, Colorado. Lesta has been producing electronic music and new media events since the age of 16, facilitating hundreds events in Colorado, Washington State, Oregon, New York City, Montreal, and Belgrade.

Lesta is driven by a passion for participatory systems <a href=""https://www.last.fm/music/Ductape"">Read more on Last.fm</a>",29698,393194,"['Kalte Nacht', 'Terminal Serious', 'She Past Away', 'Night in Athens', 'Ash Code']"
Ploho,"Based in Belgrade, Serbia, Ploho is one of the most prominent purveyors of a ""new wave of Russian music,"" reflecting its homeland by way of a cold, wistful style of rock.

Wielding melancholy guitars, minimalist beats, and deadpan Russian vocals, Ploho draws inspiration from the aesthetic and sounds of the late Soviet era of the 1980s, just before the collapse. The band's bleak rock references Russian bands of that time period, such as Кино, as well as post-punk royalty like Joy Division. <a href=""https://www.last.fm/music/Ploho"">Read more on Last.fm</a>",179301,3919854,"['bitcevsky park', 'Дурной Вкус', 'CHernaya Rechka', 'Nürnberg', 'Буерак']"
Vestron Vulture,"Vestron Vulture is the stage name of a Mexican-based electronic musician/producer from Monterrey, México. <a href=""https://www.last.fm/music/Vestron+Vulture"">Read more on Last.fm</a>",379097,5365094,"['closed tear', 'Blood Club', 'Dionnysuss', 'Flowerbabe', 'Molchat Doma']"
Mad Heads,"The band was formed in late 1991 by Vadim Krasnooky and had a number of line-up changes before becoming one of the most successful rock bands in Ukraine. First appearence on a CD compilation in 1993. First CD album, first video, first perfomance abroad in 1996.
One of the five best Ukrainian rock bands in 1997. In 2003 the band is signed by Comp Music/EMI.

Since March 2004, there is an expanded line-up available for the live perfomances, known as Mad Heads XL. <a href=""https://www.last.fm/music/Mad+Heads"">Read more on Last.fm</a>",18430,445380,"['Тарас Чубай', ""Мотор'ролла"", 'Воплі Відоплясова', 'Жадан і собаки', 'Тартак']"
Electrosexual,"Activism, feminism, queerness and electronic music!
This is the combination of Electrosexual , brainchild of Romain Frequency, the Berlin-based music producer and DJ — as well as a vehicle for them to explore gender, art, technology, and alternative sexualities through auditory signals.

Electrosexual’s music ""is about emotional connections, not stylistic categorizations,"" according to Frequency. Rooted in queer politics and aesthetics, their music nevertheless avoids pigeonholing. <a href=""https://www.last.fm/music/Electrosexual"">Read more on Last.fm</a>",8482,102626,"['Spalding Rockwell', 'Hard On', 'Memory Boy', 'Hong Kong Counterfeit', 'Kojevin']"
Chuck Ragan,"Chuck Ragan (born Charles Allen Ragan on 30 October 1974 in Houston, TX) is an American singer, songwriter, and guitarist. He continues to be the guitarist and vocalist of Hot Water Music (1993–1996, 1997–2006, 2008–present),  a punk rock band from Gainesville, Florida. In 2007 Ragan began releasing a variety of solo material, including a series of singles on No Idea Records, a live album (Los Feliz) and several studio albums (including Feast or Famine, Gold Country, Covering Ground). He also has an album as Chuck Ragan & Austin Lucas.

 <a href=""https://www.last.fm/music/Chuck+Ragan"">Read more on Last.fm</a>",108302,5474609,"['Dave Hause', 'Brian Fallon', 'The Gaslight Anthem', 'Tim Barry', 'Joey Cape']"
Fightstar,"Fightstar is a post-hardcore band, formed in 2003, from London, United Kingdom. The band consists of Charlie Simpson on vocals, guitar and keyboard, Alex Westaway on guitar and also providing vocals, bass guitarist Dan Haigh and drummer Omar Abidi. They have released three studio albums, ""Grand Unification"" in 2006, ""One Day Son, This Will All Be Yours"" in 2007 and most recently ""Be Human""  in April 2009. Before releasing any albums the band released ""They Liked You Better When You Were Dead"", a 6 track EP. <a href=""https://www.last.fm/music/Fightstar"">Read more on Last.fm</a>",286116,11435399,"['InMe', 'Funeral For A Friend', 'Reuben', 'Hell Is For Heroes', 'Hundred Reasons']"
NIVEK FFORHS," <a href=""https://www.last.fm/music/NIVEK+FFORHS"">Read more on Last.fm</a>",199206,2470481,"['Miguel Angeles', 'lumisoun', 'Pathetic', 'PERPETUALLL', 'ilyhiryu']"
Screaming Females,"Screaming Females is a 3-piece DIY, punk rock 'n roll band from New Brunswick, New Jersey featuring Marissa on vocals and guitar, King Mike on bass, and Jarrett on drums. They are signed to Don Giovanni Records. They've opened for Throwing Muses, The Dead Weather, Arctic Monkeys, and Ted Leo & The Pharmacists, plus have played with Jeff: The Brotherhood, Little Lungs, Cheeky, The Ergs, Shellshag, The Measure (SA), and countless other bands. 

The band has 7 full-length albums: Baby Teeth, What If Someone Is Watching their T. <a href=""https://www.last.fm/music/Screaming+Females"">Read more on Last.fm</a>",172982,4520707,"['Sleater-Kinney', 'The Coathangers', 'Tacocat', 'Ex Hex', 'White Lung']"
Defekt Muzgó,"Defekt Muzgó is a polish punk rock band, playing a rather simple kind of music with not too complicated lyrics.

It was formed in 1980 in Wałbrzych under the name Bunt. It was changed to the current one two years later, after suicide of Fredek ""Fred"" Wójcik (bass) who was one of band's founder.

The new band consisted of Wojciech ""Walec"" Walczyk (vocal), Tomasz ""Sivy"" Wojnar (guitar), Dariusz ""Picek"" Pacek (bass) and Krzysztof ""Heban"" Migdał (drums). <a href=""https://www.last.fm/music/+noredirect/Defekt+Muzg%C3%B3"">Read more on Last.fm</a>",26868,1464657,"['The Bill', 'Dezerter', 'The Analogs', 'Pull the Wire', 'KSU']"
Noisekick,"Noisekick (Rudmer Reitsma) is a Netherlands basedspeedcore/terror producer and DJ.

He has been a speedcore producer since 1995 for the labels Cerebral Destruction, Analphabetik, Masters of Hardcore, Noisekick Records, Pendeho Records, Terrornoize Industry and Cunt Records. He produced tracks like 'Koffie Met Een Smaakje' (Coffee With A Strange Flavour), 'Army of Speedcore' (which is based upon 'Army of Hardcore' by Neophyte vs The Stunned Guys) and 'Stoeptegel Terror' (Pavement Flag Terror).

 <a href=""https://www.last.fm/music/Noisekick"">Read more on Last.fm</a>",20903,222144,"['Paranoizer', 'Noizefucker', 'Dissoactive', 'Noisekick Vs The Untitled', 'Hellseeker']"
Soulwax,"
Soulwax, headed by David and Stephen Dewaele, is an electronic and alternative band hailing from Ghent, Belgium with traces as early as 1992. Though the Dewaele Brothers have created several major albums under this moniker, they are perhaps best-known for their influential contributions to the bastard pop genre under the name Fucking Dewaele Brothers and 2 Many DJ's.  and the landmark record As Heard On Radio Soulwax, Pt. 2. They are the main act of any Radio Soulwax event.  <a href=""https://www.last.fm/music/Soulwax"">Read more on Last.fm</a>",671759,12328407,"['Simian Mobile Disco', 'Asa Moto', 'Sebastian', 'Hot Chip', 'Boys Noize']"
Basement,"Basement are a rock band from Ipswich, Suffolk, UK consisting of five members, Alex, Andrew, Duncan, James and Ronan. Signed to Run For Cover records, Basement has released a 2009 demo, one EP, Songs About The Weather (2010) as well as four LPs: I Wish I Could Stay Here (2011), Colourmeinkindness (2012), Promise Everything (2016) and Beside Myself (2018).

The band went on hiatus due to personal commitments after their This is Goodbye tour, with their last sold out shows in Leeds and London in November 2012. <a href=""https://www.last.fm/music/Basement"">Read more on Last.fm</a>",975787,32470268,"['Citizen', 'Title Fight', 'Fiddlehead', 'Tigers Jaw', 'One Step Closer']"
N8NOFACE,"Originally from Tucson, N8NOFACE made his way to LA to double down on the visual, audio and live expression naturally running through his veins. While his influences range from Suicidal Tendencies to Stones Throw compilations of minimal wave music, his sound can be uniquely classified as the past, present, and future heartbeat of the real LA. A dirty melding of 80's/90's nostalgic synthpunk combined with the amalgamation of chaos heard in grimy soundcloud rap tapes. <a href=""https://www.last.fm/music/N8NOFACE"">Read more on Last.fm</a>",63041,890753,"['шумные и угрожающие выходки', 'fl.vco', 'NQVV', 'Baeks', 'zhulla11']"
zebrahead,"Zebrahead is an Orange County, CA-based pop-punk/rapcore band which was formed in 1996 by vocalist/guitarist Justin Mauriello (formerly of Once There), guitarist Greg Bergdorf (formerly of 409), bassist Ben Osmundson (formerly of 3-Ply), drummer Ed Udhus (formerly of 409), and rapper Ali tabatabaee.

Current members:
Adrain Estrella - Rhythm Guitar, co Lead vocals (2021–present)
Ali Tabatabaee - co Lead Vocals (1996–present)
Dan Palmer - Lead Guitar, Backing Vocals (2013–present) <a href=""https://www.last.fm/music/Zebrahead"">Read more on Last.fm</a>",908429,31135847,"['Allister', 'Sum 41', 'Autopilot Off', 'Sugarcult', 'SR-71']"
Ácido Muriatiko!," <a href=""https://www.last.fm/music/%C3%81cido+Muriatiko%21"">Read more on Last.fm</a>",47,248,"['SIN APURO', 'Sonora de Llegar', 'Devil Presley', 'Pegotes', 'Cevladé']"
Blacklisted,"Blacklisted is a hardcore band from Philadelphia, Pennsylvania. The band formed in the early 2000s, and comprised George Hirsch, Dave Walling, Shawn Foley, Jon Nean and Andy Nelson.

The band self-released their debut Demo 7-inch EP in 2003. This led to a deal with the Stillborn label, and another EP, Our Youth is Wasted. Pepito left to form Reign Supreme. The band then recorded a series of split releases for the Deathwish label, who also reissued the band's first two releases together as We're Unstoppable <a href=""https://www.last.fm/music/Blacklisted"">Read more on Last.fm</a>",98926,5633188,"['The Suicide File', 'American Nightmare', 'Give Up The Ghost', 'Cold World', 'Guns Up!']"
конец солнечных дней,"""конец солнечных дней"" is a coldwave dream pop band from Omsk, Russia. <a href=""https://www.last.fm/music/%D0%BA%D0%BE%D0%BD%D0%B5%D1%86+%D1%81%D0%BE%D0%BB%D0%BD%D0%B5%D1%87%D0%BD%D1%8B%D1%85+%D0%B4%D0%BD%D0%B5%D0%B9"">Read more on Last.fm</a>",39601,1279772,"['ssshhhiiittt!', 'shit shit shit!', 'Источник', 'Буерак', 'ПОЛМАТЕРИ']"
Gaz Brookfield,"http://www.youtube.com/watch?v=BisSASG4eTE

Gaz Brookfield is a solo acoustic musician based in Bristol.

Since winning Acoustic magazine's 2010 Singer Songwriter of the year, he has spent his time on the road, touring the UK and Europe. In this time he has shared the stage with the likes of The Levellers, Frank Turner, New Model Army, Nick Harper, Newton Faulkner, Miles Hunt, Seth Lakeman and many more, racking up over 1000 gigs to date.

Gaz remains the only unsigned solo artist to sell out The Fleece, Bristol. <a href=""https://www.last.fm/music/Gaz+Brookfield"">Read more on Last.fm</a>",3062,82194,"['Nick Parker', 'Sound Of The Sirens', 'Oxygen Thief', 'Ben Marwood', 'Jim Lockey & the Solemn Sun']"
In Fear And Faith,"In Fear and Faith is a rock band from San Diego, California, United States.

Their debut album Your World on Fire was released January 6th 2009. Their second album, Imperial was released on June 15, 2010. 

In Fear and Faith was founded in 2006 by members Noah Slifka, Mehdi Niroomand, Tyler McElhaney, Jarred DeArmas, and Ramin Niroomand. A year after recording their self-titled demo, founding vocalist Jarred DeArmas left the group and Tyler ""Telle"" <a href=""https://www.last.fm/music/In+Fear+and+Faith"">Read more on Last.fm</a>",279309,6956066,"['Woe, Is Me', ""Jamie's Elsewhere"", 'Outline in Color', 'The Word Alive', 'Hopes Die Last']"
Wolf & Bear,"Wolf & Bear is an American post-hardcore band formed in Sacramento, California, in 2013. The band currently consists of vocalists Marcus Cisneros and Tyler Watt, lead guitarist Cameron Nunez, rhythm guitarist Louie Baltazar, and drummer Jacob Koval.

2015 brought a line-up change following the departure of Sam Kohl, Steven Fernandes, and Ben Jovi. They were subsequently replaced by vocalist Marcus Cisneros, guitarist Louie Baltazar, and bass guitarist Nathaniel Duarte. They released their second single, ""Sight"", on September 8, 2015. <a href=""https://www.last.fm/music/Wolf+&+Bear"">Read more on Last.fm</a>",70306,2241102,"['Dwellings', 'Royal Coda', 'Eidola', 'Dance Gavin Dance', 'Coletta']"
The Prophet,"Dov J. Elkabas aka 'The Prophet' was born on 5 November 1968. He started DJing in 1983. He first discovered turntables when he visited a roller disco (Het Nijlpaardenhuis) in Amsterdam. 
He was so impressed by the enthusiasm it evoked that he got a job so he could buy a set of SL1200 MK2s and practice with the turntables at home. He spun disco at Het Nijlpaardenhuis for approximately two years until the roller disco was closed down. He then moved to a hip hop venue in Amsterdam known as 'Akhnaton'. <a href=""https://www.last.fm/music/The+Prophet"">Read more on Last.fm</a>",206390,2499851,"['DJ Isaac', 'Angerfist', 'Bodylotion', 'DJ Buzz Fuzz', 'Miss K8']"
Night Gaunts,"Night Gaunts hail from Auckland, New Zealand and bring you a brand of high energy, sing-a-long ska, reggae, hip-hop that will imbed itself into your brain from the moment they hit your ears. Self produced in a bedroom these guys have already made a name for themselves internationally. With constant tour requests from all parts of the globe these guys are set to explode!

Night Gaunts live show is something to be remembered with an almost direct, if not better, recreation of their first full length album ""Full Body Tourettes [Pt II]. <a href=""https://www.last.fm/music/Night+Gaunts"">Read more on Last.fm</a>",20698,344619,"['Escape from the ZOO', 'Star Fucking Hipsters', 'Morning Glory', 'The Infested', 'Kill Lincoln']"
Maxnormal.tv,"MaxNormal.TV can be seen as the 'proto' form of Die Antwoord. The members of Die Antwoord (Ninja, Yo-Landi, and DJ Hi-Tek/God) were in this group, under different names (Max Normal, Yolandi, and Justin DeNobrega)

From the now gone MaxNormal.TV website:
MaxNormal.TV are a hip-hop crew with a difference. They perform live wearing 3 piece suits while frontman MaxNormal delivers his motivational speaking style raps to the audience. Max also illustrates all his lyrics to help the audience follow. <a href=""https://www.last.fm/music/MaxNormal.TV"">Read more on Last.fm</a>",26012,268799,"['Watkin Tudor Jones', 'Max Normal', 'The Constructus Corporation', 'The Real Estate Agents', 'Jack Parow']"
Movements,"There are multiple artists with the name Movements:

1.) Movements are a post-hardcore band from Rancho Santa Margarita, California, formed in 2015. 

Reflecting personal changes from a whirlwind five years, Movements realize the full scope of their storytelling, musicianship, and vision on their second full-length album, No Good Left To Give [Fearless Records]. Not only does the music address the emotional push-and-pull of relationships, but it also explores loss <a href=""https://www.last.fm/music/Movements"">Read more on Last.fm</a>",412765,23205001,"['Citizen', 'Hot Mulligan', 'Balance and Composure', ""Arm's Length"", 'Microwave']"
